Date,Time,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11/08/2001,06:00:00 PM,083XX S YATES BLVD,MOTOR VEHICLE THEFT,STREET,1,0,0423,004,7,46,1193665,1850127,2001,41.743694282,-87.565969143,"(41.743694282, -87.565969143)"
11/20/2001,03:00:00 PM,100XX W OHARE ST,WEAPONS VIOLATION,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/10/2001,06:39:50 PM,024XX N SPAULDING AVE,MOTOR VEHICLE THEFT,STREET,0,0,1413,014,35,22,1153710,1915874,2001,41.924996781,-87.710621483,"(41.924996781, -87.710621483)"
11/19/2001,05:30:00 PM,116XX S PRAIRIE AVE,MOTOR VEHICLE THEFT,STREET,0,0,0532,005,9,53,NA,NA,2001,NA,NA,NA
11/14/2001,11:04:21 AM,007XX W 76TH ST,OTHER OFFENSE,RESIDENCE,1,0,0621,006,17,71,1172681,1854430,2001,41.755990038,-87.642729065,"(41.755990038, -87.642729065)"
12/20/2001,08:30:00 AM,058XX S LAKE SHORE DR,MOTOR VEHICLE THEFT,STREET,0,0,0331,003,5,41,1190024,1866878,2001,41.78974872,-87.578771381,"(41.78974872, -87.578771381)"
12/14/2001,10:30:00 AM,100XX W OHARE ST,BATTERY,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/19/2001,02:00:00 PM,100XX W OHARE ST,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/06/2001,09:15:00 AM,034XX W 79TH ST,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,0835,008,18,70,NA,NA,2001,NA,NA,NA
11/11/2001,07:00:00 AM,091XX S COMMERCIAL AVE,MOTOR VEHICLE THEFT,STREET,0,0,0424,004,10,46,1197782,1844589,2001,41.728395839,-87.551068902,"(41.728395839, -87.551068902)"
12/10/2001,08:00:00 AM,100XX W OHARE ST,ASSAULT,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/27/2001,06:30:00 PM,075XX S EBERHART AVE,MOTOR VEHICLE THEFT,STREET,0,0,0624,006,6,69,1180914,1855362,2001,41.758362226,-87.612528552,"(41.758362226, -87.612528552)"
12/08/2001,10:40:00 PM,111XX S TRUMBULL AVE,ROBBERY,RESIDENCE-GARAGE,0,0,2211,022,19,74,1155303,1830634,2001,41.691054775,-87.707050453,"(41.691054775, -87.707050453)"
10/14/2001,08:37:00 AM,100XX W OHARE ST,CRIMINAL DAMAGE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/27/2001,05:00:00 PM,027XX S KEELER AVE,MOTOR VEHICLE THEFT,STREET,0,0,1031,010,22,30,1148862,1885687,2001,41.842255528,-87.729216214,"(41.842255528, -87.729216214)"
12/06/2001,07:35:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/07/2001,03:00:00 PM,038XX S ALBANY AVE,CRIMINAL SEXUAL ASSAULT,RESIDENCE,0,1,0911,009,12,58,1156367,1879166,2001,41.824212951,-87.701850767,"(41.824212951, -87.701850767)"
12/02/2001,09:00:00 PM,0000X W 87TH ST,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,0634,006,21,44,1177043,1847234,2001,41.736146144,-87.626959873,"(41.736146144, -87.626959873)"
12/27/2001,09:00:00 PM,016XX W 85TH ST,MOTOR VEHICLE THEFT,STREET,0,0,0614,006,18,71,NA,NA,2001,NA,NA,NA
11/19/2001,07:25:00 AM,100XX W OHARE ST,WEAPONS VIOLATION,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
10/31/2001,09:00:00 AM,100XX W OHARE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/06/2001,01:00:00 PM,020XX W CARROLL AVE,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,1332,012,27,28,1162754,1902294,2001,41.887547231,-87.677771043,"(41.887547231, -87.677771043)"
11/21/2001,07:30:00 PM,026XX W 71ST ST,MOTOR VEHICLE THEFT,STREET,0,0,0831,008,18,66,1159618,1857418,2001,41.764467341,-87.690520444,"(41.764467341, -87.690520444)"
12/19/2001,08:00:00 PM,016XX S FAIRFIELD AVE,MOTOR VEHICLE THEFT,STREET,0,0,1023,010,28,29,NA,NA,2001,NA,NA,NA
11/20/2001,02:55:00 AM,046XX W MONROE ST,BATTERY,RESIDENCE,1,1,1113,011,28,25,1145316,1899117,2001,41.879176883,-87.741889654,"(41.879176883, -87.741889654)"
11/21/2001,08:05:00 AM,100XX W OHARE ST,CRIMINAL TRESPASS,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/01/2001,02:29:00 PM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/13/2001,06:00:00 PM,082XX S CLYDE AVE,MOTOR VEHICLE THEFT,STREET,0,0,0414,004,8,46,1191579,1850796,2001,41.745580869,-87.573590627,"(41.745580869, -87.573590627)"
08/01/2001,09:00:00 AM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/29/2001,03:00:00 PM,096XX S CRANDON AVE,MOTOR VEHICLE THEFT,STREET,0,0,0431,004,7,51,1193534,1841594,2001,41.720282161,-87.566727597,"(41.720282161, -87.566727597)"
12/29/2001,02:40:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/24/2001,01:00:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/27/2001,07:00:00 PM,031XX N MILWAUKEE AVE,MOTOR VEHICLE THEFT,OTHER,0,0,2523,025,31,21,1150039,1920959,2001,41.939022817,-87.723977703,"(41.939022817, -87.723977703)"
12/26/2001,06:15:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/08/2001,12:01:00 AM,125XX S WALLACE ST,MOTOR VEHICLE THEFT,STREET,0,0,0523,005,9,53,1174561,1821412,2001,41.665342286,-87.636818096,"(41.665342286, -87.636818096)"
11/13/2001,08:48:00 PM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/09/2001,01:10:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
10/28/2001,11:00:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/18/2001,12:30:00 AM,100XX W OHARE ST,CRIMINAL TRESPASS,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
10/27/2001,01:00:00 AM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/19/2001,12:05:00 PM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/15/2001,08:00:00 PM,067XX S KOLIN AVE,MOTOR VEHICLE THEFT,STREET,0,0,0833,008,13,65,1148584,1859228,2001,41.769653445,-87.730916973,"(41.769653445, -87.730916973)"
12/22/2001,09:30:00 PM,030XX N LOCKWOOD AVE,MOTOR VEHICLE THEFT,STREET,0,0,2514,025,31,19,1140473,1919663,2001,41.935647672,-87.759167574,"(41.935647672, -87.759167574)"
12/07/2001,11:00:00 PM,037XX N GREENVIEW AVE,OTHER OFFENSE,RESIDENCE,0,1,1923,019,44,6,1165687,1924897,2001,41.949509257,-87.666354635,"(41.949509257, -87.666354635)"
12/08/2001,06:30:00 PM,004XX N STATE ST,DECEPTIVE PRACTICE,STREET,0,0,1834,018,42,8,1176334,1903015,2001,41.889230179,-87.627879763,"(41.889230179, -87.627879763)"
12/10/2001,02:00:00 PM,076XX S SOUTH SHORE DR,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,0421,004,7,43,1196584,1855498,2001,41.758360776,-87.555095923,"(41.758360776, -87.555095923)"
12/04/2001,09:05:00 AM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/21/2001,04:30:00 AM,071XX S GREEN ST,CRIMINAL DAMAGE,STREET,0,0,0733,007,6,68,1171911,1857515,2001,41.764472591,-87.645460533,"(41.764472591, -87.645460533)"
11/04/2001,09:00:00 PM,057XX S LAFLIN ST,MOTOR VEHICLE THEFT,DRIVEWAY - RESIDENTIAL,0,0,0713,007,16,67,1167361,1866512,2001,41.789260136,-87.661879996,"(41.789260136, -87.661879996)"
11/27/2001,06:30:00 PM,100XX W OHARE ST,THEFT,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/29/2001,09:30:00 PM,100XX W OHARE ST,THEFT,SMALL RETAIL STORE,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/23/2001,04:00:00 AM,100XX W OHARE ST,BATTERY,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/04/2001,10:00:00 PM,100XX W OHARE ST,BURGLARY,AIRPORT/AIRCRAFT,1,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
11/04/2001,04:52:00 PM,100XX W OHARE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
10/18/2001,09:00:00 AM,100XX W OHARE ST,DECEPTIVE PRACTICE,AIRPORT/AIRCRAFT,0,0,1651,016,NA,76,1100635,1934208,2001,41.976200173,-87.905312411,"(41.976200173, -87.905312411)"
12/02/2001,01:00:00 AM,062XX N WINTHROP AVE,MOTOR VEHICLE THEFT,STREET,0,0,2433,024,48,77,1167688,1941493,2001,41.995006231,-87.65851874,"(41.995006231, -87.65851874)"
12/11/2001,01:45:00 AM,0000X W 99TH ST,MOTOR VEHICLE THEFT,STREET,0,0,0511,005,9,49,1177591,1839363,2001,41.714534737,-87.625189425,"(41.714534737, -87.625189425)"
12/19/2001,08:00:00 AM,075XX S SOUTH SHORE DR,MOTOR VEHICLE THEFT,STREET,0,0,0421,004,7,43,1195999,1856249,2001,41.760436076,-87.557215018,"(41.760436076, -87.557215018)"
12/01/2001,10:30:00 AM,012XX N LARRABEE ST,ROBBERY,CHA HALLWAY / STAIRWELL / ELEVATOR,0,0,1822,018,27,8,1172063,1908604,2001,41.904662004,-87.643399403,"(41.904662004, -87.643399403)"
12/23/2001,10:30:00 PM,028XX W 19TH ST,MOTOR VEHICLE THEFT,STREET,0,0,1022,010,12,30,1157180,1890538,2001,41.855402607,-87.698559781,"(41.855402607, -87.698559781)"
12/22/2001,10:49:19 AM,0000X E 63RD ST,MOTOR VEHICLE THEFT,OTHER,0,0,0312,003,20,69,1177715,1863185,2001,41.779902341,-87.624016075,"(41.779902341, -87.624016075)"
12/11/2001,10:30:00 PM,018XX W ERIE ST,MOTOR VEHICLE THEFT,STREET,0,0,1324,012,1,24,1164167,1904424,2001,41.893362379,-87.672521843,"(41.893362379, -87.672521843)"
